2025-02-02 16:46:29 - PM: 10.03 MB, WS: 16.61 MB
2025-02-02 16:46:31 - PM: 10.03 MB, WS: 16.72 MB
2025-02-02 16:46:32 - PM: 10.03 MB, WS: 16.79 MB
2025-02-02 16:46:33 - PM: 10.03 MB, WS: 16.88 MB
2025-02-02 16:46:34 - PM: 10.03 MB, WS: 16.91 MB
2025-02-02 16:46:35 - PM: 10.03 MB, WS: 16.94 MB
2025-02-02 16:46:37 - PM: 10.03 MB, WS: 16.96 MB
2025-02-02 16:46:38 - PM: 10.03 MB, WS: 16.97 MB
2025-02-02 16:46:39 - PM: 10.03 MB, WS: 16.98 MB
2025-02-02 16:46:40 - PM: 10.03 MB, WS: 16.99 MB
2025-02-02 16:46:42 - PM: 10.03 MB, WS: 16.99 MB
2025-02-02 16:46:43 - PM: 10.03 MB, WS: 16.99 MB
2025-02-02 16:46:44 - PM: 10.03 MB, WS: 16.99 MB
2025-02-02 16:46:45 - PM: 10.03 MB, WS: 16.99 MB
2025-02-02 16:46:47 - PM: 10.03 MB, WS: 16.99 MB
2025-02-02 16:46:48 - PM: 10.03 MB, WS: 17 MB
2025-02-02 16:46:49 - PM: 10.03 MB, WS: 17 MB
2025-02-02 16:46:50 - PM: 10.03 MB, WS: 17 MB
2025-02-02 16:46:51 - PM: 10.03 MB, WS: 17 MB
2025-02-02 16:46:53 - PM: 10.03 MB, WS: 17 MB
2025-02-02 16:46:54 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:46:55 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:46:56 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:46:57 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:46:58 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:46:59 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:01 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:02 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:03 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:04 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:05 - PM: 9.95 MB, WS: 16.95 MB
