2025-02-02 16:39:23 - PM: 93.04 MB, WS: 54.65 MB
2025-02-02 16:39:24 - PM: 93.04 MB, WS: 54.65 MB
2025-02-02 16:39:25 - PM: 93.04 MB, WS: 54.65 MB
2025-02-02 16:39:26 - PM: 93.04 MB, WS: 54.65 MB
2025-02-02 16:39:27 - PM: 93.04 MB, WS: 54.65 MB
2025-02-02 16:39:28 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:29 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:30 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:31 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:32 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:33 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:34 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:35 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:36 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:37 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:38 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:39 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:41 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:42 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:43 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:44 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:45 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:46 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:47 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:48 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:49 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:50 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:51 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:52 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:53 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:54 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:55 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:56 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:57 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:58 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:39:59 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:00 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:01 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:02 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:03 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:04 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:05 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:06 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:07 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:08 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:09 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:10 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:11 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:12 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:14 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:15 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:16 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:17 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:18 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:19 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:20 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:21 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:22 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:23 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:24 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:25 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:26 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:27 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:28 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:29 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:30 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:31 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:32 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:33 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:34 - PM: 86.24 MB, WS: 49.87 MB
2025-02-02 16:40:35 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:36 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:37 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:38 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:39 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:40 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:41 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:42 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:43 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:44 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:45 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:46 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:47 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:48 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:50 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:51 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:52 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:53 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:54 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:55 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:56 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:57 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:58 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:40:59 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:00 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:01 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:02 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:03 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:04 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:05 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:06 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:07 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:08 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:09 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:10 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:11 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:12 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:13 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:14 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:15 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:16 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:17 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:18 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:19 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:20 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:22 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:23 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:24 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:25 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:26 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:27 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:28 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:29 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:30 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:31 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:32 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:33 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:34 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:35 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:36 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:37 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:38 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:39 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:40 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:41 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:42 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:43 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:44 - PM: 72.63 MB, WS: 40.3 MB
2025-02-02 16:41:45 - PM: 72.63 MB, WS: 40.3 MB
